step,time,forward,remeshing,global_relaxation,peak_mem,#V,#T
62,1.55,0.13934275000000004,0,0,1.44244384765625,137,12
63,1.5750000000000002,0.12843700000000002,0,0,1.44244384765625,137,12
64,1.6,0.13277400000000003,0,0,1.44244384765625,137,12
65,1.625,0.14617287500000004,0,0,1.4424591064453125,137,12
66,1.6500000000000001,0.12318808333333336,0,0,1.4424591064453125,137,12
67,1.675,0.12734933333333337,0,0,1.4424591064453125,137,12
68,1.7000000000000002,0.1343654166666667,0,0,1.4424591064453125,137,12
69,1.725,0.13483237500000003,0,0,1.442474365234375,137,12
70,1.75,0.12357995833333336,0,0,1.442474365234375,137,12
71,1.7750000000000001,0.12227300000000002,0,0,1.442474365234375,137,12
72,1.8,0.12824720833333336,0,0,1.442535400390625,137,12
73,1.8250000000000002,0.12483350000000003,0,0,1.442535400390625,137,12
74,1.85,0.11839566666666669,0,0,1.442535400390625,137,12
75,1.875,0.11801483333333336,0,0,1.442535400390625,137,12
76,1.9000000000000001,0.12737983333333336,0,0,1.442535400390625,137,12
77,1.925,0.11769145833333337,0,0,1.442535400390625,137,12
78,1.9500000000000002,0.12222804166666669,0,0,1.4425506591796875,137,12
79,1.975,0.12618812500000004,0,0,1.4425506591796875,137,12
80,2,0.15240937500000004,0,0,1.4425506591796875,137,12
81,2.025,0.1319139166666667,0,0,1.4425506591796875,137,12
82,2.0500000000000003,0.12765775000000001,0,0,1.4425506591796875,137,12
83,2.075,0.13794445833333335,0,0,1.4425506591796875,137,12
84,2.1,0.12289458333333336,0,0,1.4425506591796875,137,12
85,2.125,0.3127473333333334,0,0,1.4427032470703125,137,12
86,2.15,0.1393442916666667,0,0,1.4427032470703125,137,12
87,2.1750000000000003,0.13076733333333337,0,0,1.4427032470703125,137,12
88,2.2,0.12853020833333337,0,0,1.4427032470703125,137,12
89,2.225,0.14883837500000002,0,0,1.4427032470703125,137,12
90,2.25,0.12712608333333336,0,0,1.4427032470703125,137,12
91,2.275,0.13206870833333337,0,0,1.4427032470703125,137,12
92,2.3000000000000003,0.12678095833333336,0,0,1.4427032470703125,137,12
93,2.325,0.12659187500000002,0,0,1.4427032470703125,137,12
94,2.35,0.12411762500000002,0,0,1.4427032470703125,137,12
95,2.375,0.1241779166666667,0,0,1.4427032470703125,137,12
96,2.4000000000000004,0.12497216666666669,0,0,1.4427032470703125,137,12
97,2.4250000000000003,0.12468633333333336,0,0,1.4427032470703125,137,12
98,2.45,0.12525333333333336,0,0,1.4427032470703125,137,12
99,2.475,0.12314700000000002,0,0,1.4427032470703125,137,12
100,2.5,0.1233909166666667,0,0,1.4427032470703125,137,12
101,2.5250000000000004,0.12646333333333337,0,0,1.4427032470703125,137,12
102,2.5500000000000003,0.12536245833333337,0,0,1.4427032470703125,137,12
103,2.575,0.1200487916666667,0,0,1.4427032470703125,137,12
104,2.6,0.12032791666666669,0,0,1.4427032470703125,137,12
105,2.625,0.12025275000000003,0,0,1.4427032470703125,137,12
106,2.6500000000000004,0.11915816666666669,0,0,1.4427032470703125,137,12
107,2.6750000000000003,0.12376816666666669,0,0,1.4427032470703125,137,12
108,2.7,0.11976225000000003,0,0,1.4427032470703125,137,12
109,2.725,0.1196549166666667,0,0,1.4427032470703125,137,12
110,2.75,0.12090895833333336,0,0,1.4427032470703125,137,12
111,2.7750000000000004,0.12185100000000003,0,0,1.4427032470703125,137,12
112,2.8000000000000003,0.12566745833333337,0,0,1.4427032470703125,137,12
113,2.825,0.1302659166666667,0,0,1.4427032470703125,137,12
114,2.85,0.1307769166666667,0,0,1.4427032470703125,137,12
115,2.875,0.12936120833333337,0,0,1.4427032470703125,137,12
116,2.9000000000000004,0.12571850000000004,0,0,1.4427032470703125,137,12
117,2.9250000000000003,0.12732520833333336,0,0,1.4427032470703125,137,12
118,2.95,0.12424916666666669,0,0,1.4427032470703125,137,12
119,2.975,0.1313861666666667,0,0,1.4427032470703125,137,12
120,3,0.12444925000000003,0,0,1.4427032470703125,137,12
121,3.0250000000000004,0.12013458333333336,0,0,1.4427032470703125,137,12
122,3.0500000000000003,0.15676558333333337,0,0,1.4427032470703125,137,12
123,3.075,0.12609358333333337,0,0,1.4427032470703125,137,12
124,3.1,0.1226081666666667,0,0,1.4427032470703125,137,12
125,3.125,0.12052512500000002,0,0,1.4427032470703125,137,12
126,3.1500000000000004,0.11986279166666669,0,0,1.4427032470703125,137,12
127,3.1750000000000003,0.2825299583333334,0,0,1.4427032470703125,137,12
128,3.2,0.1317669166666667,0,0,1.4427032470703125,137,12
129,3.225,0.1284309166666667,0,0,1.4427032470703125,137,12
130,3.25,0.11789333333333336,0,0,1.4427032470703125,137,12
131,3.2750000000000004,0.11834341666666669,0,0,1.4427032470703125,137,12
132,3.3000000000000003,0.11888045833333336,0,0,1.4427032470703125,137,12
133,3.325,0.11777570833333335,0,0,1.4427032470703125,137,12
134,3.35,0.11974504166666669,0,0,1.4427032470703125,137,12
135,3.375,0.12585837500000002,0,0,1.4427032470703125,137,12
136,3.4000000000000004,0.1231245416666667,0,0,1.4427032470703125,137,12
137,3.4250000000000003,0.12124554166666669,0,0,1.4427032470703125,137,12
138,3.45,0.12051500000000002,0,0,1.4427032470703125,137,12
139,3.475,0.12488666666666667,0,0,1.4427032470703125,137,12
140,3.5,0.2955558750000001,0,0,1.4427032470703125,137,12
141,3.5250000000000004,0.12648987500000003,0,0,1.4427032470703125,137,12
142,3.5500000000000003,0.12959325000000002,0,0,1.4427032470703125,137,12
143,3.575,0.12237337500000002,0,0,1.4427032470703125,137,12
