step,time,forward,remeshing,global_relaxation,peak_mem,#V,#T
69,1.725,0.35904691666666677,0,0,1.9218292236328125,989,3383
70,1.75,0.20053045833333338,0,0,1.9218292236328125,989,3383
71,1.7750000000000001,0.5668308333333335,0,0,1.9218292236328125,989,3383
72,1.8,0.7238920000000002,0,0,1.9218292236328125,989,3383
73,1.8250000000000002,0.7513210833333335,0,0,1.9218292236328125,989,3383
74,1.85,1.0496021666666668,0,0,1.9218292236328125,989,3383
75,1.875,2.539654083333334,0,0,1.9218292236328125,989,3383
76,1.9000000000000001,0.7355947916666669,0,0,1.9218292236328125,989,3383
77,1.925,1.630083916666667,0,0,1.9218292236328125,989,3383
78,1.9500000000000002,1.1443148333333335,0,0,1.9218292236328125,989,3383
79,1.975,2.3413374583333337,0,0,1.9218292236328125,989,3383
80,2,0.9087644583333335,0,0,1.9218292236328125,989,3383
81,2.025,1.0890127083333336,0,0,1.9218292236328125,989,3383
82,2.0500000000000003,1.0537368333333335,0,0,1.9218292236328125,989,3383
83,2.075,0.8393425833333336,0,0,1.9218292236328125,989,3383
84,2.1,1.3753673333333336,0,0,1.9218292236328125,989,3383
85,2.125,1.4252506666666669,0,0,1.9218292236328125,989,3383
86,2.15,0.8710157916666669,0,0,1.9218292236328125,989,3383
87,2.1750000000000003,1.1243877083333336,0,0,1.921844482421875,989,3383
88,2.2,1.0861775000000002,0,0,1.921844482421875,989,3383
89,2.225,1.2156260833333337,0,0,1.921844482421875,989,3383
90,2.25,0.40713554166666677,0,0,1.921844482421875,989,3383
91,2.275,0.6544285833333334,0,0,1.9218902587890625,989,3383
92,2.3000000000000003,1.9597947500000004,0,0,1.9218902587890625,989,3383
93,2.325,1.0132894166666668,0,0,1.9218902587890625,989,3383
94,2.35,1.1106017083333335,0,0,1.9219207763671875,989,3383
95,2.375,1.496713041666667,0,0,1.9219512939453125,989,3383
96,2.4000000000000004,0.9070570000000002,0,0,1.9219512939453125,989,3383
97,2.4250000000000003,0.8347270416666669,0,0,1.9219512939453125,989,3383
98,2.45,1.2178894583333335,0,0,1.921966552734375,989,3383
99,2.475,0.8403468750000002,0,0,1.921966552734375,989,3383
100,2.5,1.8913715000000004,0,0,1.921966552734375,989,3383
101,2.5250000000000004,0.6931379583333335,0,0,1.921966552734375,989,3383
102,2.5500000000000003,0.5243827916666668,0,0,1.921966552734375,989,3383
103,2.575,0.6546555416666668,0,0,1.921966552734375,989,3383
104,2.6,0.6229643333333335,0,0,1.921966552734375,989,3383
105,2.625,0.5320638333333334,0,0,1.921966552734375,989,3383
106,2.6500000000000004,0.5980684166666668,0,0,1.921966552734375,989,3383
107,2.6750000000000003,0.2945898333333334,0,0,1.921966552734375,989,3383
108,2.7,0.24976154166666673,0,0,1.921966552734375,989,3383
109,2.725,0.21185895833333337,0,0,1.921966552734375,989,3383
110,2.75,0.22759829166666673,0,0,1.921966552734375,989,3383
111,2.7750000000000004,0.5183462500000001,0,0,1.921966552734375,989,3383
112,2.8000000000000003,0.2305505833333334,0,0,1.921966552734375,989,3383
113,2.825,0.8853997500000002,0,0,1.921966552734375,989,3383
114,2.85,0.2305825833333334,0,0,1.921966552734375,989,3383
115,2.875,1.4669516250000003,0,0,1.921966552734375,989,3383
116,2.9000000000000004,2.0836359583333337,0,0,1.921966552734375,989,3383
117,2.9250000000000003,0.6746878750000002,0,0,1.921966552734375,989,3383
118,2.95,0.8988998333333336,0,0,1.921966552734375,989,3383
119,2.975,0.6597570416666668,0,0,1.921966552734375,989,3383
120,3,0.8705630416666669,0,0,1.921966552734375,989,3383
121,3.0250000000000004,0.6533808750000002,0,0,1.921966552734375,989,3383
122,3.0500000000000003,0.6961530416666668,0,0,1.921966552734375,989,3383
123,3.075,0.2448115833333334,0,0,1.921966552734375,989,3383
124,3.1,1.070979916666667,0,0,1.921966552734375,989,3383
125,3.125,1.212169791666667,0,0,1.921966552734375,989,3383
126,3.1500000000000004,2.7304349166666673,0,0,1.92840576171875,989,3383
127,3.1750000000000003,1.360622291666667,0,0,1.9284210205078125,989,3383
128,3.2,2.0178112916666673,0,0,1.9284210205078125,989,3383
129,3.225,1.5777589583333336,0,0,1.9284210205078125,989,3383
130,3.25,0.8205023750000002,0,0,1.9284210205078125,989,3383
131,3.2750000000000004,0.4930476250000001,0,0,1.9284210205078125,989,3383
132,3.3000000000000003,0.65511125,0,0,1.9284210205078125,989,3383
133,3.325,0.6612422083333335,0,0,1.9284210205078125,989,3383
134,3.35,0.4863029166666667,0,0,1.9284210205078125,989,3383
135,3.375,0.9260785000000001,0,0,1.9284210205078125,989,3383
136,3.4000000000000004,0.4874254166666668,0,0,1.9284210205078125,989,3383
137,3.4250000000000003,0.2238427083333334,0,0,1.9284210205078125,989,3383
138,3.45,1.3318270000000003,0,0,1.9284210205078125,989,3383
139,3.475,1.3032184583333337,0,0,1.9284210205078125,989,3383
140,3.5,0.6903846250000002,0,0,1.9284210205078125,989,3383
141,3.5250000000000004,1.1974112083333337,0,0,1.9284210205078125,989,3383
142,3.5500000000000003,0.7198757500000001,0,0,1.9284820556640625,989,3383
143,3.575,0.7150001666666667,0,0,1.9284820556640625,989,3383
144,3.6,0.9688554166666669,0,0,1.928497314453125,989,3383
145,3.625,0.4563000833333335,0,0,1.928497314453125,989,3383
146,3.6500000000000004,0.5449496666666667,0,0,1.928497314453125,989,3383
147,3.6750000000000003,0.39531904166666676,0,0,1.92852783203125,989,3383
148,3.7,0.5420688750000001,0,0,1.92852783203125,989,3383
149,3.725,0.5724950416666668,0,0,1.92852783203125,989,3383
150,3.75,0.7366762916666668,0,0,1.92852783203125,989,3383
151,3.7750000000000004,0.40691904166666676,0,0,1.92852783203125,989,3383
152,3.8000000000000003,0.3708243750000001,0,0,1.92852783203125,989,3383
153,3.825,0.38797991666666676,0,0,1.92852783203125,989,3383
154,3.85,0.3682270000000001,0,0,1.92852783203125,989,3383
155,3.875,0.31843637500000005,0,0,1.92852783203125,989,3383
156,3.9000000000000004,0.4280888750000001,0,0,1.92852783203125,989,3383
157,3.9250000000000003,0.41800904166666675,0,0,1.92852783203125,989,3383
158,3.95,0.3185470000000001,0,0,1.92852783203125,989,3383
159,3.975,0.21050750000000004,0,0,1.9285430908203125,989,3383
160,4,0.2275067916666667,0,0,1.9285430908203125,989,3383
161,4.025,0.21461883333333337,0,0,1.928558349609375,989,3383
162,4.05,0.5152104583333335,0,0,1.928558349609375,989,3383
163,4.075,0.21475262500000006,0,0,1.928558349609375,989,3383
164,4.1000000000000005,0.18867462500000004,0,0,1.928558349609375,989,3383
165,4.125,0.1944690416666667,0,0,1.928558349609375,989,3383
166,4.15,0.23573112500000004,0,0,1.928558349609375,989,3383
167,4.175,0.5347395000000001,0,0,1.928558349609375,989,3383
168,4.2,0.22464500000000004,0,0,1.928558349609375,989,3383
169,4.2250000000000005,0.18741058333333338,0,0,1.928558349609375,989,3383
170,4.25,0.5052113750000001,0,0,1.928558349609375,989,3383
171,4.275,0.3167315833333334,0,0,1.928558349609375,989,3383
172,4.3,0.22906204166666672,0,0,1.928558349609375,989,3383
173,4.325,0.6750807500000001,0,0,1.928558349609375,989,3383
174,4.3500000000000005,0.5008582916666667,0,0,1.928558349609375,989,3383
175,4.375,0.4870932083333334,0,0,1.928558349609375,989,3383
176,4.4,0.1902567916666667,0,0,1.928558349609375,989,3383
177,4.425,0.5059007083333334,0,0,1.928558349609375,989,3383
178,4.45,0.4710844166666668,0,0,1.928558349609375,989,3383
179,4.4750000000000005,0.46606070833333346,0,0,1.928558349609375,989,3383
180,4.5,0.6929066250000001,0,0,1.928558349609375,989,3383
181,4.525,0.43824254166666676,0,0,1.928558349609375,989,3383
182,4.55,0.4650765416666668,0,0,1.928558349609375,989,3383
183,4.575,0.8875929166666668,0,0,1.928558349609375,989,3383
184,4.6000000000000005,0.7050751250000001,0,0,1.928558349609375,989,3383
185,4.625,0.8830932916666668,0,0,1.928558349609375,989,3383
186,4.65,0.7062300833333335,0,0,1.928558349609375,989,3383
187,4.675,0.7777193750000002,0,0,1.928558349609375,989,3383
188,4.7,1.9641312916666671,0,0,1.928558349609375,989,3383
189,4.7250000000000005,1.0173001250000002,0,0,1.928558349609375,989,3383
190,4.75,1.133557041666667,0,0,1.928558349609375,989,3383
191,4.775,0.9223002083333335,0,0,1.928558349609375,989,3383
192,4.800000000000001,0.9190920000000002,0,0,1.928558349609375,989,3383
193,4.825,1.4630517500000004,0,0,1.928558349609375,989,3383
194,4.8500000000000005,1.3073508750000002,0,0,1.928558349609375,989,3383
195,4.875,0.6993123333333335,0,0,1.928558349609375,989,3383
196,4.9,1.41319875,0,0,1.928558349609375,989,3383
197,4.925000000000001,1.6625330000000003,0,0,1.928558349609375,989,3383
198,4.95,1.6096575833333338,0,0,1.928558349609375,989,3383
199,4.9750000000000005,0.9226396250000002,0,0,1.928558349609375,989,3383
200,5,1.027890041666667,0,0,1.928558349609375,989,3383
