i,elastic,inertia,body,contact,friction,damping,augmented_lagrangian_lagr,augmented_lagrangian_penalty,strain_augmented_lagrangian_lagr,strain_augmented_lagrangian_penalty,periodic_contact,total_energy
81,52023.5,141.402,-275256,6.01657,0,0,0,0,0,0,0,-223085
82,59247.7,145.458,-282520,6.45691,0,0,0,0,0,0,0,-223120
83,66823.1,134.063,-289489,6.83449,0,0,0,0,0,0,0,-222525
84,74630.7,144.786,-296105,7.20326,0,0,0,0,0,0,0,-221322
85,82547,172.991,-302311,7.52447,0,0,0,0,0,0,0,-219583
86,90435.2,200.24,-308072,7.79341,0,0,0,0,0,0,0,-217429
87,98109,235.659,-313358,8.06149,0,0,0,0,0,0,0,-215006
88,105381,272.934,-318144,8.29414,0,0,0,0,0,0,0,-212482
89,112052,319.369,-322403,8.51501,0,0,0,0,0,0,0,-210023
90,117983,348.932,-326119,8.69526,0,0,0,0,0,0,0,-207778
91,123032,422.623,-329278,8.89998,0,0,0,0,0,0,0,-205815
92,127150,510.393,-331858,9.17535,0,0,0,0,0,0,0,-204189
93,130177,556.055,-333810,9.52807,0,0,0,0,0,0,0,-203067
94,131831,579.657,-335102,9.68188,0,0,0,0,0,0,0,-202682
95,131883,613.636,-335706,9.81948,0,0,0,0,0,0,0,-203200
96,130199,616.667,-335596,9.84248,0,0,0,0,0,0,0,-204771
97,126828,571.695,-334784,9.68922,0,0,0,0,0,0,0,-207375
98,121892,517.836,-333305,9.3703,0,0,0,0,0,0,0,-210886
99,115631,452.903,-331217,8.8992,0,0,0,0,0,0,0,-215124
100,108407,377.617,-328602,8.30271,0,0,0,0,0,0,0,-219809
101,100578,318.035,-325542,7.77898,0,0,0,0,0,0,0,-224638
102,92382.1,290.318,-322111,7.33498,0,0,0,0,0,0,0,-229431
103,83987.6,274.809,-318384,6.8699,0,0,0,0,0,0,0,-234115
104,75633.6,260.825,-314446,6.37419,0,0,0,0,0,0,0,-238545
105,67538.8,265.325,-310376,5.92515,0,0,0,0,0,0,0,-242565
106,59884,281.845,-306253,5.53922,0,0,0,0,0,0,0,-246082
107,52781.9,304.302,-302157,5.20657,0,0,0,0,0,0,0,-249065
108,46348.1,340.783,-298153,4.92324,0,0,0,0,0,0,0,-251460
109,40587.5,377.681,-294307,4.59133,0,0,0,0,0,0,0,-253338
110,35615.5,396.075,-290689,4.257,0,0,0,0,0,0,0,-254673
111,31508.4,425.813,-287360,3.98618,0,0,0,0,0,0,0,-255422
